Stampo,Pressa,Giorni produzione
A92,[10],192.8333333
A98,[15],206
A63,[18],75
A67,[18],60
A102,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",102
A105,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",194.88
A17,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",31.3
A2,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",113
A23,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",32.2
A23,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",1.2
A43Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",275
A43Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",69
A44,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",89.28571429
A49,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",105
A49,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",11.7
A50,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",0.6
A51,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",66.66666667
A53X,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",1.35
A53Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",72
A54,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",54
A56Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",127.68
A58,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",7.834285714
A78,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",54
A82,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",81
A83,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",221
A85MX,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",141.5902778
A87,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",116
A88,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",163
A93,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",97.248
A94IY,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",39
A95,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",185
A96X,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",54.36
A99,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",120
ASS,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",100.308642
ASSX,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",53.60243056
TwinX,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",105
jolly,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",40
A106,[6],195.12
A96B,[9],196.32
