,Task,Resource,Start,Finish,NDay
0,A43Y,4,2023-01-01,2023-12-22,344
1,A83,5,2023-01-01,2023-08-19,221
2,A106,6,2023-01-01,2023-07-23,196
3,A105,7,2023-01-01,2023-07-22,195
4,A96B,9,2023-01-01,2023-07-24,197
5,A92,10,2023-01-01,2023-07-20,193
6,A95,11,2023-01-01,2023-07-12,185
7,A88,12,2023-01-01,2023-06-20,163
8,A85MX,13,2023-01-01,2023-05-29,142
9,A98,15,2023-01-01,2023-08-02,206
10,A56Y,16,2023-01-01,2023-05-15,128
11,A99,17,2023-01-01,2023-05-07,120
12,A63,18,2023-01-01,2023-03-19,75
13,A49,23,2023-01-01,2023-05-04,117
14,A87,24,2023-01-01,2023-05-03,116
15,A2,25,2023-01-01,2023-04-29,113
16,A67,18,2023-03-19,2023-05-22,60
17,TwinX,25,2023-04-29,2023-08-15,105
18,A102,24,2023-05-03,2023-08-15,102
19,ASS,23,2023-05-04,2023-08-15,101
20,A93,17,2023-05-07,2023-08-15,98
21,A44,16,2023-05-15,2023-08-15,90
22,A82,18,2023-05-22,2023-08-13,81
23,A53Y,13,2023-05-29,2023-08-11,72
24,A51,12,2023-06-20,2023-08-28,67
25,A96X,11,2023-07-12,2023-09-07,55
26,A54,10,2023-07-20,2023-09-14,54
27,A78,7,2023-07-22,2023-09-16,54
28,ASSX,6,2023-07-23,2023-09-17,54
29,A94IY,9,2023-07-24,2023-09-03,39
30,A23,15,2023-08-02,2023-09-07,34
31,A17,13,2023-08-11,2023-09-13,32
32,A58,18,2023-08-13,2023-08-22,8
33,A53X,16,2023-08-15,2023-08-18,2
34,A50,17,2023-08-15,2023-08-17,1
