,Task,Resource,Start,Finish,NDay
0,A43Y,4,2023-01-01,2023-12-11,344
1,A83,5,2023-01-01,2023-08-10,221
2,A106,6,2023-01-01,2023-07-16,196
3,A105,7,2023-01-01,2023-07-15,195
4,A96B,9,2023-01-01,2023-07-17,197
5,A92,10,2023-01-01,2023-07-13,193
6,A95,11,2023-01-01,2023-07-05,185
7,A88,12,2023-01-01,2023-06-13,163
8,A85MX,13,2023-01-01,2023-05-23,142
9,A98,15,2023-01-01,2023-07-26,206
10,A56Y,16,2023-01-01,2023-05-09,128
11,A99,17,2023-01-01,2023-05-01,120
12,A63,18,2023-01-01,2023-03-17,75
13,A49,23,2023-01-01,2023-04-28,117
14,A87,24,2023-01-01,2023-04-27,116
15,A2,25,2023-01-01,2023-04-24,113
16,A67,18,2023-03-17,2023-05-16,60
17,TwinX,25,2023-04-24,2023-08-07,105
18,A102,24,2023-04-27,2023-08-07,102
19,ASS,23,2023-04-28,2023-08-07,101
20,A93,17,2023-05-01,2023-08-07,98
21,A44,16,2023-05-09,2023-08-07,90
22,A82,18,2023-05-16,2023-08-05,81
23,A53Y,13,2023-05-23,2023-08-03,72
24,A51,12,2023-06-13,2023-08-19,67
25,A96X,11,2023-07-05,2023-08-29,55
26,A54,10,2023-07-13,2023-09-05,54
27,A78,7,2023-07-15,2023-09-07,54
28,ASSX,6,2023-07-16,2023-09-08,54
29,A94IY,9,2023-07-17,2023-08-25,39
30,A23,15,2023-07-26,2023-08-29,34
31,A17,13,2023-08-03,2023-09-04,32
32,A58,18,2023-08-05,2023-08-13,8
33,A53X,16,2023-08-07,2023-08-09,2
34,A50,17,2023-08-07,2023-08-08,1
