,Task,Start,Finish,Resource,NDay
0,A2,2023-01-01 00:00:00.000000,2023-07-27 00:00:00.000000,Pressa 4,113
1,A82,2023-01-01 00:00:00.000000,2023-05-24 00:00:00.000000,Pressa 5,81
2,A106,2023-01-01 00:00:00.000000,2023-12-20 02:52:48.000000,Pressa 6,195
3,A43Y,2023-01-01 00:00:00.000000,2024-09-17 00:00:00.000000,Pressa 7,344
4,A58,2023-01-01 00:00:00.000000,2023-01-19 20:01:22.285690,Pressa 9,7
5,A92,2023-01-01 00:00:00.000000,2023-12-15 19:59:59.997120,Pressa 10,192
6,A87,2023-01-01 00:00:00.000000,2023-08-02 00:00:00.000000,Pressa 11,116
7,A102,2023-01-01 00:00:00.000000,2023-07-07 00:00:00.000000,Pressa 12,102
8,A51,2023-01-01 00:00:00.000000,2023-04-28 16:00:00.000288,Pressa 13,66
9,A17,2023-01-01 00:00:00.000000,2023-02-28 07:12:00.000000,Pressa 15,31
10,A88,2023-01-01 00:00:00.000000,2023-10-24 00:00:00.000000,Pressa 16,163
11,A83,2023-01-01 00:00:00.000000,2024-02-08 00:00:00.000000,Pressa 17,221
12,A56Y,2023-01-01 00:00:00.000000,2023-08-23 16:19:12.000000,Pressa 18,127
13,A105,2023-01-01 00:00:00.000000,2023-12-19 21:07:12.000000,Pressa 23,194
14,A44,2023-01-01 00:00:00.000000,2023-06-09 06:51:25.714656,Pressa 24,89
15,A49,2023-01-01 00:00:00.000000,2023-08-02 16:48:00.000000,Pressa 25,116
16,A94IY,2023-01-19 20:01:22.285690,2023-03-24 20:01:22.285690,Pressa 9,39
17,A50,2023-02-28 07:12:00.000000,2023-02-28 21:36:00.000000,Pressa 15,0
18,A98,2023-02-28 21:36:00.000000,2024-03-06 21:36:00.000000,Pressa 15,206
19,A96B,2023-03-24 20:01:22.285690,2024-03-14 03:42:10.285690,Pressa 9,196
20,A85MX,2023-04-28 16:00:00.000288,2024-01-13 06:10:00.002208,Pressa 13,141
21,A95,2023-05-24 00:00:00.000000,2024-04-25 00:00:00.000000,Pressa 5,185
22,A93,2023-06-09 06:51:25.714656,2023-12-05 12:48:32.914656,Pressa 24,97
23,A53X,2023-07-07 00:00:00.000000,2023-07-08 08:24:00.000000,Pressa 12,1
24,A54,2023-07-08 08:24:00.000000,2023-10-13 08:24:00.000000,Pressa 12,54
25,A53Y,2023-07-27 00:00:00.000000,2023-12-02 00:00:00.000000,Pressa 4,72
26,TwinX,2023-08-02 00:00:00.000000,2024-02-08 00:00:00.000000,Pressa 11,105
27,A99,2023-08-02 16:48:00.000000,2024-03-02 16:48:00.000000,Pressa 25,120
28,A63,2023-08-23 16:19:12.000000,2024-01-04 16:19:12.000000,Pressa 18,75
29,ASS,2023-10-13 08:24:00.000000,2024-04-10 15:48:26.668800,Pressa 12,100
30,A96X,2023-10-24 00:00:00.000000,2024-01-31 08:38:24.000000,Pressa 16,54
31,A78,2023-12-02 00:00:00.000000,2024-03-08 00:00:00.000000,Pressa 4,54
32,ASSX,2023-12-15 19:59:59.997120,2024-03-21 10:27:29.997504,Pressa 10,53
33,A23,2023-12-19 21:07:12.000000,2024-02-18 06:43:12.000000,Pressa 23,33
34,jolly,2023-12-20 02:52:48.000000,2024-03-01 02:52:48.000000,Pressa 6,40
35,A67,2024-01-04 16:19:12.000000,2024-04-18 16:19:12.000000,Pressa 18,60
