,Task,Start,Finish,Resource,NDay
0,A43Y,2024-01-01 00:00:00.000000,2024-12-10 00:00:00.000000,Pressa 4,344
1,A2,2024-01-01 00:00:00.000000,2024-04-23 00:00:00.000000,Pressa 5,113
2,A102,2024-01-01 00:00:00.000000,2024-04-12 00:00:00.000000,Pressa 6,102
3,A43Y,2024-01-01 00:00:00.000000,2024-12-10 00:00:00.000000,Pressa 7,344
4,A96B,2024-01-01 00:00:00.000000,2024-07-15 07:40:48.000000,Pressa 9,196
5,A92,2024-01-01 00:00:00.000000,2024-07-11 19:59:59.997120,Pressa 10,192
6,A43Y,2024-01-01 00:00:00.000000,2024-12-10 00:00:00.000000,Pressa 11,344
7,A56Y,2024-01-01 00:00:00.000000,2024-05-07 16:19:12.000000,Pressa 12,127
8,A99,2024-01-01 00:00:00.000000,2024-04-30 00:00:00.000000,Pressa 13,120
9,A98,2024-01-01 00:00:00.000000,2024-07-25 00:00:00.000000,Pressa 15,206
10,A85MX,2024-01-01 00:00:00.000000,2024-05-21 14:10:00.001920,Pressa 16,141
11,A88,2024-01-01 00:00:00.000000,2024-06-12 00:00:00.000000,Pressa 17,163
12,A83,2024-01-01 00:00:00.000000,2024-08-09 00:00:00.000000,Pressa 18,221
13,A87,2024-01-01 00:00:00.000000,2024-04-26 00:00:00.000000,Pressa 23,116
14,A105,2024-01-01 00:00:00.000000,2024-07-13 21:07:12.000000,Pressa 24,194
15,A49,2024-01-01 00:00:00.000000,2024-04-26 16:48:00.000000,Pressa 25,116
16,A106,2024-04-12 00:00:00.000000,2024-10-24 02:52:48.000000,Pressa 6,195
17,A95,2024-04-26 00:00:00.000000,2024-10-28 00:00:00.000000,Pressa 23,185
18,A92,2024-05-07 16:19:12.000000,2024-11-16 12:19:11.997120,Pressa 12,192
19,A88,2024-05-21 14:10:00.001920,2024-10-31 14:10:00.001920,Pressa 16,163
20,A85MX,2024-10-24 02:52:48.000000,2025-03-14 17:02:48.001920,Pressa 6,141
21,A98,2024-10-28 00:00:00.000000,2025-05-22 00:00:00.000000,Pressa 23,206
22,A87,2025-03-14 17:02:48.001920,2025-07-08 17:02:48.001920,Pressa 6,116
23,TwinX,2025-05-22 00:00:00.000000,2025-09-04 00:00:00.000000,Pressa 23,105
